datetime,open,close,high,low,volume
20240625,183.33,187.17,187.97,182.01,1295147.0
20240626,188.0,195.1,197.76,186.35,1936625.0
20240627,194.9,197.63,198.72,194.05,1459296.0
20240628,197.92,197.8,203.2,195.26,1958005.0
20240701,198.98,209.93,213.23,197.88,2818336.0
20240702,208.86,231.18,231.42,202.0,4138360.0
20240703,231.59,248.5,248.55,230.63,3392516.0
20240705,250.56,251.01,253.78,242.46,3217072.0
20240708,250.09,252.71,259.44,244.57,3299968.0
20240709,252.77,263.77,265.61,250.06,3285888.0
20240710,264.48,261.62,267.59,257.87,2680576.0
20240711,261.5,236.75,271.0,235.36,4537752.0
20240712,231.75,248.68,251.84,231.33,3221346.0
20240715,260.51,254.78,265.6,251.73,3026752.0
20240716,255.35,256.03,258.62,245.8,2666153.0
20240717,252.27,249.4,258.47,246.18,2378629.0
20240718,250.0,250.06,257.14,247.2,2316188.0
20240719,248.01,240.19,250.37,236.83,1757656.0
20240722,242.51,251.6,253.21,241.37,2054325.0
20240723,251.75,227.23,255.76,225.0,2288044.0
20240724,226.1,216.34,230.3,213.95,3286883.0
20240725,214.9,220.35,226.0,210.2,2047075.0
20240726,222.78,220.75,225.6,215.33,2006564.0
20240729,221.27,232.32,234.27,219.25,2737887.0
20240730,234.2,224.95,235.98,219.5,2076069.0
20240731,227.37,232.68,234.68,223.61,1354769.0
20240801,232.15,217.1,233.55,214.33,1703130.0
20240802,214.63,208.0,221.85,205.78,1631593.0
20240805,196.87,205.21,205.49,181.17,1969304.0
20240806,205.7,195.08,207.65,192.67,1459818.0
20240807,198.8,189.56,203.49,188.5,1400559.0
20240808,192.35,200.6,200.78,189.63,1304613.0
20240809,199.88,200.12,202.75,195.11,1182570.0
20240812,200.5,197.7,202.56,194.67,1233423.0
20240813,198.89,206.93,208.49,196.6,1575943.0
20240814,206.5,200.76,210.75,198.75,1448523.0
20240815,201.81,214.97,216.0,200.51,1879097.0
20240816,214.66,216.32,219.8,210.47,1732146.0
20240819,215.5,222.0,222.98,212.21,1586120.0
20240820,223.37,219.41,228.22,219.41,1519450.0
20240821,220.22,223.6,224.66,218.86,1451131.0
20240822,223.0,211.98,225.55,210.2,1587580.0
20240823,213.39,220.89,221.48,212.36,1686720.0
20240826,220.36,213.28,221.38,211.01,1201898.0
20240827,214.33,208.1,215.66,206.97,1279859.0
20240828,208.65,202.31,211.84,202.13,1271264.0
20240829,205.4,207.34,214.89,203.61,1274684.0
20240830,208.78,213.66,214.65,207.03,1297184.0
20240903,215.0,209.1,219.91,209.0,1554902.0
20240904,209.01,218.88,222.22,207.32,1627872.0
20240905,221.41,229.67,235.0,218.85,2453271.0
20240906,228.73,211.5,234.68,209.73,2241183.0
