date,symbol,ma200,ma150,ma50
20240626,V,-1,-1,-1
20240627,V,-1,-1,-1
20240628,V,-1,-1,-1
20240701,V,-1,-1,-1
20240702,V,-1,-1,-1
20240703,V,-1,-1,-1
20240705,V,-1,-1,-1
20240708,V,-1,-1,-1
20240709,V,-1,-1,-1
20240710,V,-1,-1,-1
20240711,V,-1,-1,-1
20240712,V,-1,-1,-1
20240715,V,-1,-1,-1
20240716,V,-1,-1,-1
20240717,V,-1,-1,-1
20240718,V,-1,-1,-1
20240719,V,-1,-1,-1
20240722,V,-1,-1,-1
20240723,V,-1,-1,-1
20240724,V,-1,-1,-1
20240725,V,-1,-1,-1
20240726,V,-1,-1,-1
20240729,V,-1,-1,-1
20240730,V,-1,-1,-1
20240731,V,-1,-1,-1
20240801,V,-1,-1,-1
20240802,V,-1,-1,-1
20240805,V,-1,-1,-1
20240806,V,-1,-1,-1
20240807,V,-1,-1,-1
20240808,V,-1,-1,-1
20240809,V,-1,-1,-1
20240812,V,-1,-1,-1
20240813,V,-1,-1,-1
20240814,V,-1,-1,-1
20240815,V,-1,-1,-1
20240816,V,-1,-1,-1
20240819,V,-1,-1,-1
20240820,V,-1,-1,-1
20240821,V,-1,-1,-1
20240822,V,-1,-1,-1
20240823,V,-1,-1,-1
20240826,V,-1,-1,-1
20240827,V,-1,-1,-1
20240828,V,-1,-1,-1
20240829,V,-1,-1,-1
20240830,V,-1,-1,-1
20240903,V,-1,-1,-1
20240904,V,-1,-1,-1
20240905,V,-1,-1,265.746
20240906,V,-1,-1,265.9534
20240909,V,-1,-1,266.3434
20240910,V,-1,-1,266.7956
20240911,V,-1,-1,267.2118
20240912,V,-1,-1,267.5618
20240913,V,-1,-1,267.9264
20240916,V,-1,-1,268.3244
20240917,V,-1,-1,268.8202
20240918,V,-1,-1,269.299
20240919,V,-1,-1,269.741
20240920,V,-1,-1,270.1782
20240923,V,-1,-1,270.5334
20240924,V,-1,-1,270.6324
20240925,V,-1,-1,270.6474
20240926,V,-1,-1,270.6262
20240927,V,-1,-1,270.73
20240930,V,-1,-1,270.925
20241001,V,-1,-1,271.1228
20241002,V,-1,-1,271.5352
20241003,V,-1,-1,271.9778
20241004,V,-1,-1,272.4448
20241007,V,-1,-1,272.7168
20241008,V,-1,-1,272.9896
20241009,V,-1,-1,273.2662
20241010,V,-1,-1,273.5058
20241011,V,-1,-1,273.7884
20241014,V,-1,-1,274.0888
20241015,V,-1,-1,274.5398
20241016,V,-1,-1,275.1492
20241017,V,-1,-1,275.849
20241018,V,-1,-1,276.464
20241021,V,-1,-1,277.008
20241022,V,-1,-1,277.506
20241023,V,-1,-1,277.9866
20241024,V,-1,-1,278.4198
20241025,V,-1,-1,278.7208
20241028,V,-1,-1,279.0738
20241029,V,-1,-1,279.4884
20241030,V,-1,-1,279.9478
20241031,V,-1,-1,280.381
20241101,V,-1,-1,280.834
20241104,V,-1,-1,281.3108
20241105,V,-1,-1,281.8458
20241106,V,-1,-1,282.5718
20241107,V,-1,-1,283.304
20241108,V,-1,-1,283.9832
20241111,V,-1,-1,284.6672
20241112,V,-1,-1,285.2934
20241113,V,-1,-1,285.8382
20241114,V,-1,-1,286.4352
20241115,V,-1,-1,287.0378
20241118,V,-1,-1,287.5588
20241119,V,-1,-1,288.089
20241120,V,-1,-1,288.5644
20241121,V,-1,-1,289.043
20241122,V,-1,-1,289.5012
20241125,V,-1,-1,289.946
20241126,V,-1,-1,290.3512
20241127,V,-1,-1,290.8538
20241129,V,-1,-1,291.4558
20241202,V,-1,-1,292.1062
20241203,V,-1,-1,292.6932
20241204,V,-1,-1,293.4232
20241205,V,-1,-1,294.2132
20241206,V,-1,-1,295.0046
20241209,V,-1,-1,295.665
20241210,V,-1,-1,296.4126
20241211,V,-1,-1,297.1312
20241212,V,-1,-1,297.866
20241213,V,-1,-1,298.625
20241216,V,-1,-1,299.3838
20241217,V,-1,-1,300.277
20241218,V,-1,-1,301.0338
20241219,V,-1,-1,301.8002
20241220,V,-1,-1,302.5936
20241223,V,-1,-1,303.382
20241224,V,-1,-1,304.1812
20241226,V,-1,-1,305.0094
20241227,V,-1,-1,305.6182
20241230,V,-1,-1,306.1084
20241231,V,-1,-1,306.6138
20250102,V,-1,-1,307.1668
20250103,V,-1,-1,307.774
20250106,V,-1,-1,308.3486
20250107,V,-1,-1,308.9376
20250108,V,-1,-1,309.5448
20250110,V,-1,-1,309.9968
20250113,V,-1,-1,310.3968
20250114,V,-1,-1,310.7606
20250115,V,-1,-1,311.2818
20250116,V,-1,-1,311.7952
20250117,V,-1,-1,312.355
20250121,V,-1,-1,312.9328
20250122,V,-1,-1,313.2622
20250123,V,-1,-1,313.7104
20250124,V,-1,-1,314.1404
20250127,V,-1,-1,314.6302
20250128,V,-1,-1,315.1252
20250129,V,-1,-1,315.6964
20250130,V,-1,289.5511,316.472
20250131,V,-1,290.0269,317.0896
20250203,V,-1,290.5557,317.7648
20250204,V,-1,291.1073,318.4374
20250205,V,-1,291.6862,319.2824
20250206,V,-1,292.2171,320.0466
20250207,V,-1,292.7462,320.811
20250210,V,-1,293.2854,321.5858
20250211,V,-1,293.8451,322.3638
20250212,V,-1,294.4179,323.101
20250213,V,-1,295.0379,323.9168
20250214,V,-1,295.644,324.6476
20250218,V,-1,296.2506,325.5252
20250219,V,-1,296.8276,326.4272
20250220,V,-1,297.3659,327.2372
20250221,V,-1,297.8676,327.972
20250224,V,-1,298.4048,328.8194
20250225,V,-1,298.9897,329.6314
20250226,V,-1,299.5454,330.3822
20250227,V,-1,300.2078,331.2222
20250228,V,-1,300.9313,332.1912
20250303,V,-1,301.6525,333.129
20250304,V,-1,302.2858,333.8636
20250305,V,-1,302.8961,334.665
20250306,V,-1,303.4381,335.2478
20250307,V,-1,303.9699,335.8102
20250310,V,-1,304.4781,336.264
20250311,V,-1,304.9267,336.51
20250312,V,-1,305.4389,336.7676
20250313,V,-1,305.9123,336.9696
20250314,V,-1,306.4183,337.2974
20250317,V,-1,306.9163,337.6712
20250318,V,-1,307.4171,338.0766
20250319,V,-1,307.9512,338.5736
20250320,V,-1,308.4766,339.0946
20250321,V,-1,308.9704,339.5538
20250324,V,-1,309.4844,340.1876
20250325,V,-1,310.0003,340.9302
20250326,V,-1,310.5123,341.6516
20250327,V,-1,311.0589,342.4684
20250328,V,-1,311.5523,342.994
20250331,V,-1,312.0913,343.6448
20250401,V,-1,312.6194,344.1924
20250402,V,-1,313.0803,344.4622
20250403,V,-1,313.5323,344.763
20250404,V,-1,313.8243,344.4586
20250407,V,-1,314.1144,344.2196
20250408,V,-1,314.2971,343.5938
20250409,V,-1,314.6735,343.6018
20250410,V,-1,314.9668,343.3658
20250411,V,302.9389,315.3365,343.1024
20250414,V,303.266,315.7035,342.9832
20250415,V,303.605,316.0255,342.753
20250416,V,303.9502,316.335,342.4786
20250417,V,304.299,316.6614,342.1374
20250421,V,304.559,316.8914,341.5846
20250422,V,304.8901,317.2113,341.3216
20250423,V,305.2104,317.5057,340.9854
20250424,V,305.5566,317.802,340.691
20250425,V,305.9042,318.1059,340.3628
20250428,V,306.2767,318.4552,339.993
20250429,V,306.6817,318.8495,339.7948
20250430,V,307.0755,319.2562,339.5502
20250501,V,307.4433,319.7136,339.2904
20250502,V,307.8351,320.2309,339.2424
20250505,V,308.2129,320.7419,339.249
20250506,V,308.6223,321.2531,339.275
20250507,V,309.0431,321.7491,339.2034
20250508,V,309.4632,322.2433,339.2166
20250509,V,309.9442,322.7471,339.1532
20250512,V,310.4506,323.2748,339.0082
20250513,V,310.96,323.7984,338.8824
20250514,V,311.4409,324.3489,338.906
20250515,V,311.9488,324.9353,339.107
20250516,V,312.4437,325.5029,339.4606
20250519,V,312.9582,326.109,339.9232
20250520,V,313.4734,326.7017,340.4592
20250521,V,313.9408,327.2248,340.9832
20250522,V,314.447,327.7495,341.4714
20250523,V,314.9271,328.1863,341.9712
20250527,V,315.446,328.6449,342.529
20250528,V,315.9583,329.1231,343.0842
20250529,V,316.4749,329.6306,343.6484
20250530,V,317.0005,330.1654,344.1486
20250602,V,317.5236,330.7026,344.6646
20250603,V,318.0449,331.2533,345.2686
20250604,V,318.551,331.8277,345.7508
20250605,V,319.0487,332.3736,346.1938
20250606,V,319.5692,332.9294,346.7398
20250609,V,320.0598,333.4305,347.0626
20250610,V,320.5724,333.9695,347.6326
20250611,V,321.0987,334.5203,348.121
20250612,V,321.6098,335.0428,348.581
20250613,V,322.039,335.4368,348.9154
20250616,V,322.4556,335.7501,349.2252
20250617,V,322.892,336.088,350.095
20250618,V,323.2267,336.3079,350.5636
20250620,V,323.5377,336.4945,351.2596
20250623,V,323.875,336.7355,351.4796
20250624,V,324.229,337.0259,352.0156
20250625,V,324.567,337.2775,352.2582
20250626,V,324.9037,337.5256,352.504
20250627,V,325.2156,337.7679,352.786
20250630,V,325.5625,338.0536,353.2448
20250701,V,325.9222,338.3749,353.7048
20250702,V,326.2593,338.6647,354.363
20250703,V,326.6166,338.9885,354.8328
20250707,V,326.947,339.2806,355.2706
